Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;IP2;IP3
fandango.com;263800000;263763360.0;0.12;3.95;1250238;28.35;2.03;13.91;1.78;52.67;0.7;0.54;204.74.99.100;;
fastwebnet.it;9100000;9109302.0;97.39;7.18;63697723;23.03;0.9;73.41;0.74;1.8;0.0;0.12;;;
film.interia.pl;38200000;38171802.0;0.06;2.25;51531;2.37;0.11;95.15;0.67;1.61;0.0;0.09;217.74.71.147;;
film.onet.pl;107200000;107227554.0;0.14;3.66;549433;2.01;0.12;89.27;2.46;6.1;0.0;0.04;213.180.141.158;;
film.qq.com;49900000;49909092.0;0.03;2.39;35784;13.79;0.05;77.3;0.37;8.48;0.01;0.0;203.205.151.227;203.205.151.212;203.205.151.211
film.wp.pl;84800000;84815304.0;0.11;3.9;363857;1.72;0.12;91.8;1.69;4.63;0.0;0.04;212.77.99.3;;
filmaffinity.com;106300000;106291392.0;0.25;3.89;1033683;32.89;0.33;10.78;1.27;54.62;0.0;0.12;82.98.141.148;;
filmesonlinegratis.net;311900000;311860086.0;0.12;5.05;1889872;39.97;0.24;19.45;1.92;37.39;0.0;1.02;104.20.23.105;104.20.22.105;
filmesonlinehd1.com;63700000;63670080.0;0.2;3.98;506813;30.44;0.18;12.92;1.9;53.94;0.0;0.63;104.24.123.177;104.24.122.177;
filmesonlinex.net;71800000;71833104.0;0.04;4.14;118955;40.52;0.17;13.58;1.7;43.56;0.0;0.48;93.158.212.6;;
filmfanatic.com;117500000;117542646.0;2.29;1.28;3445410;18.22;0.14;24.36;0.9;1.77;0.55;54.07;74.113.233.64;;
filmibeat.com;68600000;68557338.0;0.01;6.78;0;6.73;1.02;55.7;6.66;29.54;0.0;0.34;198.72.116.208;;
filmifullizle.org;105800000;105835608.0;0.01;6.01;0;25.85;0.18;15.15;0.93;57.46;0.0;0.42;95.130.173.170;95.130.173.171;
filmitorrent.org;79900000;79917588.0;0.24;4.63;888044;37.13;0.53;10.03;1.2;51.07;0.0;0.05;5.45.77.37;;
filmix.net;140100000;140101398.0;0.89;4.13;5149707;53.59;0.65;26.75;2.94;16.02;0.0;0.05;185.48.56.24;;
filmsenzalimiti.co;56600000;56588670.0;91.77;4.42;229536887;18.73;0.12;37.41;0.44;41.34;0.0;1.96;104.28.14.36;104.28.15.36;
filmstarts.de;58300000;58282788.0;0.54;3.51;1104691;31.58;0.05;4.37;7.75;56.14;0.01;0.09;62.39.143.50;;
filmstreamvk.com;43200000;43222680.0;0.29;2.97;372276;23.33;0.49;25.06;1.44;49.1;0.0;0.59;104.18.33.13;104.18.32.13;
filmtv.it;18600000;18590106.0;94.06;2.84;49659824;27.2;0.36;36.87;0.47;34.99;0.0;0.12;151.1.175.125;;
filmweb.pl;356600000;356584122.0;0.15;6.85;3663901;37.83;0.54;10.9;3.26;47.43;0.01;0.03;193.200.227.13;;
fiscoetasse.com;5600000;5615460.0;98.14;1.61;8872730;10.15;4.38;2.76;1.41;81.21;0.07;0.02;213.92.122.98;;
fizrukoff.net;21100000;21124494.0;0.45;3.25;308945;12.88;0.52;22.03;3.22;61.06;0.0;0.29;104.18.55.77;104.18.54.77;
flickr.com;926600000;926569266.0;2.74;14.54;369141489;40.11;1.91;24.08;14.08;19.56;0.0;0.26;69.147.76.173;;
freepik.com;204900000;204943014.0;2.18;8.76;39137557;31.67;1.86;20.13;2.09;44.16;0.0;0.09;178.33.44.27;;
fs.to;172500000;172512930.0;0.04;5.67;391259;44.65;0.98;39.8;4.98;9.55;0.0;0.04;91.226.97.14;;
gfycat.com;661200000;661170282.0;0.62;2.59;10617072;12.68;0.12;3.78;82.32;0.62;0.0;0.49;104.16.116.165;104.16.115.165;104.16.113.165
giga.de;163400000;163406412.0;0.55;2.03;1824432;22.08;0.05;2.76;5.76;69.29;0.01;0.05;80.86.80.168;80.86.80.169;80.86.80.170
giphy.com;811700000;811692012.0;2.43;2.24;44182019;16.53;0.36;5.72;60.61;16.72;0.01;0.05;104.16.11.250;;
glaz.tv;136600000;136608396.0;0.38;3.04;1578100;29.3;1.41;37.15;4.7;27.35;0.01;0.06;93.114.45.124;;
gnula.nu;137500000;137538564.0;0.25;3.06;1052170;48.36;0.24;15.3;1.84;33.26;0.0;1.01;104.25.225.9;104.25.224.9;
googledrive.com;79900000;79862472.0;1.18;2.14;2016687;24.09;1.85;27.52;13.57;32.19;0.0;0.79;172.217.20.129;;
gossipblog.itimdb.com;0;0.0;0.01;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
hbogo.com;133900000;133889262.0;0.05;6.97;466604;50.74;1.3;32.76;1.89;13.29;0.0;0.02;206.208.179.83;206.208.179.21;206.208.179.139
hdfilmcehennemi.com;85700000;85654488.0;0.02;3.91;66981;47.77;0.16;15.07;1.35;34.85;0.0;0.8;104.25.25.19;104.25.24.19;
hdfilms.tv;32700000;32673330.0;0.11;1.48;53192;10.62;0.1;3.85;0.53;84.76;0.0;0.15;193.109.246.154;;
hdkinomax.com;67200000;67159428.0;0.25;1.78;298859;8.37;0.09;4.38;0.51;86.55;0.0;0.1;193.109.246.146;;
hdonline.vn;119400000;119378448.0;0.01;4.77;0;46.37;0.23;21.07;8.43;23.75;0.0;0.15;210.245.125.106;;
heavy.com;140800000;140769372.0;0.71;1.94;1938957;8.85;0.51;3.0;4.79;82.81;0.0;0.03;192.0.79.34;;
history.com;140600000;140638416.0;0.29;1.86;758603;19.12;0.37;6.31;4.23;69.49;0.37;0.1;204.74.99.101;;
homepage-web.com;181000000;181015236.0;4.07;1.9;13997908;99.84;0.01;0.12;0.01;0.02;0.0;0.0;104.25.30.36;104.25.31.36;
